tx_seq,block_time,block_number,tx_index,tx_hash,tx_from,tx_to,axie_from,axie_to,axie_token_id,axie_transfer_count,event_kind,accesses_marketplace_hotspot,operation_class
1,2021-10-01 00:00:00.000 UTC,7.158073e+06,5,0xac40bd88685926e74d41ea9c99b5ae7a7dc8c2ddf55db0e2468140594b7a28ad,0xf4871572e23d340e7bac76b9b9973d9af4b862ea,0x32950db2a7164ae833121501c797d79e7b79d74c,0xf4871572e23d340e7bac76b9b9973d9af4b862ea,0xb0aa09d37be47e647b7020e47b826093cfdc7e96,5329953,1,transfer,false,direct_or_other_transfer
2,2021-10-01 00:00:00.000 UTC,7.158073e+06,14,0x3d165f89908af991da478c7de09925a8d5688b6f6afc270d4e61ad2224c72f80,0xab9d9cf7f4b53568e6d5080c1071586ca91deb53,0x32950db2a7164ae833121501c797d79e7b79d74c,0xab9d9cf7f4b53568e6d5080c1071586ca91deb53,0xcceea02905dbe9654555b7f5376087c947273ec6,158433,1,transfer,false,direct_or_other_transfer
3,2021-10-01 00:00:00.000 UTC,7.158073e+06,21,0x112df490efc46082bf012657bd6ad772d76d56f08c4feb9b1417026439dd1a09,0xc0c39869a97fd14501311d8388735c42ade98977,0x32950db2a7164ae833121501c797d79e7b79d74c,0xc0c39869a97fd14501311d8388735c42ade98977,0xfe6d187bd237f540de9d6435a1bfcfe72f29f45f,1985050,1,transfer,false,direct_or_other_transfer
4,2021-10-01 00:00:00.000 UTC,7.158073e+06,22,0xba4e0a4385ffb49404ba78e4978523cfc027d55aaefbf598edd9d592dd2592b6,0x59ad367f4bc4c4bbb98bb1d05c2a58ae2fe5ac8d,0x213073989821f738a7ba3520c3d31a1f9ad31bbd,0x9a85a6473e5193432d255a1c9a88a030409b1bb6,0x59ad367f4bc4c4bbb98bb1d05c2a58ae2fe5ac8d,6677028,1,transfer,true,marketplace
5,2021-10-01 00:00:00.000 UTC,7.158073e+06,24,0xa844236ccade1c3f6b74749515281f7257bd4424ecc174256de103779806723d,0x645fc92a698121e5af49cd55da563b2ee598edaf,0x32950db2a7164ae833121501c797d79e7b79d74c,0x645fc92a698121e5af49cd55da563b2ee598edaf,0x491c4036203ee8ed0c8791a81b41cadf27e20233,5461584,1,transfer,false,direct_or_other_transfer
6,2021-10-01 00:00:00.000 UTC,7.158073e+06,28,0x4332a752684319342fb2364f39639d69cb0778c90857134ceb8d8cac4c41344c,0x0baedec851e3efb367fbf47810580c36332116ff,0x213073989821f738a7ba3520c3d31a1f9ad31bbd,0x6abc2518528f4b1e96852f45cd287241126a9f96,0x0baedec851e3efb367fbf47810580c36332116ff,6365899,1,transfer,true,marketplace
7,2021-10-01 00:00:00.000 UTC,7.158073e+06,30,0xebb5215990068c6bd36710e20eaeb8bebb5cea39d12b2e5e84954ab6e0f1fc32,0x701a9635df3760cf4526ba13e2e21f32445e81fd,0x32950db2a7164ae833121501c797d79e7b79d74c,0x701a9635df3760cf4526ba13e2e21f32445e81fd,0x240e110e0ab2fdb3a7a2a589a9ebb76ee69b1b9c,6607727,1,transfer,false,direct_or_other_transfer
8,2021-10-01 00:00:00.000 UTC,7.158073e+06,34,0x3bbca98623eb593c94c71b4d0d60ce082689570e6eb6d2f926e5ceace9e3d296,0x9c0a464e0f9e1ca2df9b903f67b7cb5351ee77b7,0x32950db2a7164ae833121501c797d79e7b79d74c,0x0000000000000000000000000000000000000000,0x9c0a464e0f9e1ca2df9b903f67b7cb5351ee77b7,7016476,1,mint,false,mint_candidate
9,2021-10-01 00:00:00.000 UTC,7.158073e+06,40,0xa309866aa6b6cfda63e8683d8d782ce9bcb55916383f53dee8a05a4073d153f9,0xe47cf41f2e05e7430fe3353c68a8c38376bd6275,0x32950db2a7164ae833121501c797d79e7b79d74c,0x0000000000000000000000000000000000000000,0xe47cf41f2e05e7430fe3353c68a8c38376bd6275,7016477,1,mint,false,mint_candidate
10,2021-10-01 00:00:00.000 UTC,7.158073e+06,41,0x51ed2cd612e4e53f829a376f20f8dc858de4fc3e3ec63fdc589b3c0ba0fa8d81,0x6e9f025d7f869344b808304e9f228db4ae269eae,0x32950db2a7164ae833121501c797d79e7b79d74c,0x6e9f025d7f869344b808304e9f228db4ae269eae,0xc6cd98d70faa0f6da339f557123387849e7b6c6c,4267156,1,transfer,false,direct_or_other_transfer
11,2021-10-01 00:00:00.000 UTC,7.158073e+06,55,0xea048df394eef78a5b8aaec45f63dfa1c78362f9d4b0f73ececd63899b15b9eb,0xacb65681011e96042b58eedfbc8126054bb48135,0x213073989821f738a7ba3520c3d31a1f9ad31bbd,0xc1e93ee3e14f020a4f2d548475e5b534d5344146,0xacb65681011e96042b58eedfbc8126054bb48135,4347827,1,transfer,true,marketplace
12,2021-10-01 00:00:00.000 UTC,7.158073e+06,81,0x6a6486b7f13909ddf4f02f1190464b69bfefe88fb4f1571c89e79388e0f1f9bb,0x865a06f8050f82532ea51a80b2d91fce58ee65a4,0x32950db2a7164ae833121501c797d79e7b79d74c,0x865a06f8050f82532ea51a80b2d91fce58ee65a4,0x540702bdbd570a8bfe21ab91ef93a010e37523c7,809695,1,transfer,false,direct_or_other_transfer
13,2021-10-01 00:00:03.000 UTC,7.158074e+06,3,0x17076fc37fd1c9edc0d453df88d6cbf5fc86bcfbb9c133892d9113127712f6f4,0xa4a152d386d37525c986ebe01a3cb8b2529f029f,0x32950db2a7164ae833121501c797d79e7b79d74c,0xa4a152d386d37525c986ebe01a3cb8b2529f029f,0xadf7b3697f3350f44287e1074d01593c6321d7d3,5059187,1,transfer,false,direct_or_other_transfer
14,2021-10-01 00:00:03.000 UTC,7.158074e+06,4,0xa1a259b287eed66a7741dee235d945c72097adfea7abe2c9b50dc9986bf4c6a7,0x9a16a81e64260e131423d79641663cdc5ac491e7,0x32950db2a7164ae833121501c797d79e7b79d74c,0x9a16a81e64260e131423d79641663cdc5ac491e7,0xf0f60685883d5cad5a06c33bffb847b21e5e45d5,5798862,1,transfer,false,direct_or_other_transfer
15,2021-10-01 00:00:03.000 UTC,7.158074e+06,5,0x73bb45eecf6101169bc5af30d18ede3ec41a46c4b93614ab750455feddca66fa,0xde548beb67359de2de558f06482a11a34c0d5b27,0x32950db2a7164ae833121501c797d79e7b79d74c,0xde548beb67359de2de558f06482a11a34c0d5b27,0xeaef7c6eb5a03186393073d5ab137d793d154fcd,2689060,1,transfer,false,direct_or_other_transfer
16,2021-10-01 00:00:03.000 UTC,7.158074e+06,7,0xc16143f4261f4134284d485b6ca9d94168a5653b411ef77fe680dbd3e19ceb36,0xf30776b7c2a9ea00872d4ba9270b5898f6eea7cf,0x32950db2a7164ae833121501c797d79e7b79d74c,0xf30776b7c2a9ea00872d4ba9270b5898f6eea7cf,0x9c28ed0ee3348b0dc018cc198d866d12917ce298,643764,1,transfer,false,direct_or_other_transfer
17,2021-10-01 00:00:21.000 UTC,7.15808e+06,8,0x5ac1a2517bc2ef0b7ec206efc28d2a6eca03204218bb64b162e436722a2bddc2,0xca5669398447cb88b16794fbfc2c0afc567caf9d,0x32950db2a7164ae833121501c797d79e7b79d74c,0xca5669398447cb88b16794fbfc2c0afc567caf9d,0xd5446cfa0569f2e6bdcb5cb8739890531e49d870,5869100,1,transfer,false,direct_or_other_transfer
18,2021-10-01 00:00:21.000 UTC,7.15808e+06,18,0x4829b41bea21fde9e6759d43da6fe73aeef9b66f6fedd812a1c31624ea919789,0x8a9323d8c8dccf88b905ab7a0cb871cd3bee36c4,0x32950db2a7164ae833121501c797d79e7b79d74c,0x8a9323d8c8dccf88b905ab7a0cb871cd3bee36c4,0xff382c275bf455131cfceaab5e57ba9844c692af,5845234,1,transfer,false,direct_or_other_transfer
